Process ID / Metric,Arrival / Value,Burst,Start,Finish,Waiting,Turnaround,Response
P26,0,26,0,26,0,26,0
P37,0,28,26,54,26,54,26
P60,0,12,54,66,54,66,54
P71,0,24,66,90,66,90,66
P100,0,27,90,117,90,117,90
P11,1,26,117,143,116,142,116
P33,1,17,143,160,142,159,142
P43,1,30,160,190,159,189,159
P50,1,28,190,218,189,217,189
P65,1,24,218,242,217,241,217
P73,1,26,242,268,241,267,241
P74,1,26,268,294,267,293,267
P93,1,13,294,307,293,306,293
P96,1,23,307,330,306,329,306
P1,2,22,330,352,328,350,328
P3,2,30,352,382,350,380,350
P7,2,27,382,409,380,407,380
P12,2,22,409,431,407,429,407
P32,2,15,431,446,429,444,429
P39,2,28,446,474,444,472,444
P52,2,23,474,497,472,495,472
P54,2,29,497,526,495,524,495
P59,2,22,526,548,524,546,524
P81,2,24,548,572,546,570,546
P84,2,14,572,586,570,584,570
P91,2,19,586,605,584,603,584
P15,3,15,605,620,602,617,602
P16,3,27,620,647,617,644,617
P19,3,29,647,676,644,673,644
P21,3,26,676,702,673,699,673
P24,3,17,702,719,699,716,699
P28,3,11,719,730,716,727,716
P31,3,14,730,744,727,741,727
P44,3,28,744,772,741,769,741
P53,3,20,772,792,769,789,769
P56,3,14,792,806,789,803,789
P66,3,19,806,825,803,822,803
P79,3,14,825,839,822,836,822
P82,3,18,839,857,836,854,836
P98,3,27,857,884,854,881,854
P99,3,17,884,901,881,898,881
P6,4,20,901,921,897,917,897
P8,4,11,921,932,917,928,917
P13,4,16,932,948,928,944,928
P14,4,12,948,960,944,956,944
P30,4,17,960,977,956,973,956
P36,4,22,977,999,973,995,973
P47,4,13,999,1012,995,1008,995
P48,4,23,1012,1035,1008,1031,1008
P49,4,14,1035,1049,1031,1045,1031
P62,4,25,1049,1074,1045,1070,1045
P92,4,22,1074,1096,1070,1092,1070
P22,5,14,1096,1110,1091,1105,1091
P38,5,20,1110,1130,1105,1125,1105
P57,5,18,1130,1148,1125,1143,1125
P68,5,10,1148,1158,1143,1153,1143
P77,5,18,1158,1176,1153,1171,1153
P10,6,11,1176,1187,1170,1181,1170
P27,6,18,1187,1205,1181,1199,1181
P35,6,16,1205,1221,1199,1215,1199
P45,6,29,1221,1250,1215,1244,1215
P55,6,23,1250,1273,1244,1267,1244
P75,6,26,1273,1299,1267,1293,1267
P83,6,29,1299,1328,1293,1322,1293
P85,6,24,1328,1352,1322,1346,1322
P2,7,30,1352,1382,1345,1375,1345
P17,7,29,1382,1411,1375,1404,1375
P20,7,27,1411,1438,1404,1431,1404
P23,7,27,1438,1465,1431,1458,1431
P46,7,13,1465,1478,1458,1471,1458
P63,7,19,1478,1497,1471,1490,1471
P86,7,28,1497,1525,1490,1518,1490
P89,7,10,1525,1535,1518,1528,1518
P90,7,26,1535,1561,1528,1554,1528
P94,7,14,1561,1575,1554,1568,1554
P97,7,11,1575,1586,1568,1579,1568
P4,8,11,1586,1597,1578,1589,1578
P9,8,14,1597,1611,1589,1603,1589
P25,8,12,1611,1623,1603,1615,1603
P29,8,24,1623,1647,1615,1639,1615
P41,8,24,1647,1671,1639,1663,1639
P42,8,17,1671,1688,1663,1680,1663
P51,8,26,1688,1714,1680,1706,1680
P58,8,22,1714,1736,1706,1728,1706
P64,8,11,1736,1747,1728,1739,1728
P67,8,13,1747,1760,1739,1752,1739
P78,8,20,1760,1780,1752,1772,1752
P80,8,30,1780,1810,1772,1802,1772
P87,8,18,1810,1828,1802,1820,1802
P95,8,20,1828,1848,1820,1840,1820
P5,9,16,1848,1864,1839,1855,1839
P18,9,23,1864,1887,1855,1878,1855
P34,9,19,1887,1906,1878,1897,1878
P40,9,10,1906,1916,1897,1907,1897
P61,9,21,1916,1937,1907,1928,1907
P69,9,19,1937,1956,1928,1947,1928
P70,9,23,1956,1979,1947,1970,1947
P72,9,26,1979,2005,1970,1996,1970
P76,9,14,2005,2019,1996,2010,1996
P88,9,18,2019,2037,2010,2028,2010

Algorithm,FCFS - First Come First Serve,,,,,,
Average Waiting Time,1041.95 seconds,,,,,,
Average Turnaround Time,1062.32 seconds,,,,,,
Average Response Time,1041.95 seconds,,,,,,
CPU Utilization,100.00%,,,,,,
Throughput,0.049 processes/second,,,,,,
