Process ID / Metric,Arrival / Value,Burst,Start,Finish,Waiting,Turnaround,Response
P100,0,27,0,27,0,27,0
P60,0,12,27,39,27,39,27
P68,5,10,39,49,34,44,34
P89,7,10,49,59,42,52,42
P28,3,11,59,70,56,67,56
P40,9,10,70,80,61,71,61
P8,4,11,80,91,76,87,76
P10,6,11,91,102,85,96,85
P97,7,11,102,113,95,106,95
P4,8,11,113,124,105,116,105
P64,8,11,124,135,116,127,116
P14,4,12,135,147,131,143,131
P25,8,12,147,159,139,151,139
P93,1,13,159,172,158,171,158
P47,4,13,172,185,168,181,168
P46,7,13,185,198,178,191,178
P67,8,13,198,211,190,203,190
P84,2,14,211,225,209,223,209
P31,3,14,225,239,222,236,222
P56,3,14,239,253,236,250,236
P79,3,14,253,267,250,264,250
P49,4,14,267,281,263,277,263
P22,5,14,281,295,276,290,276
P94,7,14,295,309,288,302,288
P9,8,14,309,323,301,315,301
P76,9,14,323,337,314,328,314
P32,2,15,337,352,335,350,335
P15,3,15,352,367,349,364,349
P13,4,16,367,383,363,379,363
P35,6,16,383,399,377,393,377
P5,9,16,399,415,390,406,390
P33,1,17,415,432,414,431,414
P24,3,17,432,449,429,446,429
P99,3,17,449,466,446,463,446
P30,4,17,466,483,462,479,462
P42,8,17,483,500,475,492,475
P82,3,18,500,518,497,515,497
P57,5,18,518,536,513,531,513
P77,5,18,536,554,531,549,531
P27,6,18,554,572,548,566,548
P87,8,18,572,590,564,582,564
P88,9,18,590,608,581,599,581
P91,2,19,608,627,606,625,606
P66,3,19,627,646,624,643,624
P63,7,19,646,665,639,658,639
P34,9,19,665,684,656,675,656
P69,9,19,684,703,675,694,675
P53,3,20,703,723,700,720,700
P6,4,20,723,743,719,739,719
P38,5,20,743,763,738,758,738
P78,8,20,763,783,755,775,755
P95,8,20,783,803,775,795,775
P61,9,21,803,824,794,815,794
P1,2,22,824,846,822,844,822
P12,2,22,846,868,844,866,844
P59,2,22,868,890,866,888,866
P36,4,22,890,912,886,908,886
P92,4,22,912,934,908,930,908
P58,8,22,934,956,926,948,926
P96,1,23,956,979,955,978,955
P52,2,23,979,1002,977,1000,977
P48,4,23,1002,1025,998,1021,998
P55,6,23,1025,1048,1019,1042,1019
P18,9,23,1048,1071,1039,1062,1039
P70,9,23,1071,1094,1062,1085,1062
P71,0,24,1094,1118,1094,1118,1094
P65,1,24,1118,1142,1117,1141,1117
P81,2,24,1142,1166,1140,1164,1140
P85,6,24,1166,1190,1160,1184,1160
P29,8,24,1190,1214,1182,1206,1182
P41,8,24,1214,1238,1206,1230,1206
P62,4,25,1238,1263,1234,1259,1234
P26,0,26,1263,1289,1263,1289,1263
P11,1,26,1289,1315,1288,1314,1288
P73,1,26,1315,1341,1314,1340,1314
P74,1,26,1341,1367,1340,1366,1340
P21,3,26,1367,1393,1364,1390,1364
P75,6,26,1393,1419,1387,1413,1387
P90,7,26,1419,1445,1412,1438,1412
P51,8,26,1445,1471,1437,1463,1437
P72,9,26,1471,1497,1462,1488,1462
P7,2,27,1497,1524,1495,1522,1495
P16,3,27,1524,1551,1521,1548,1521
P98,3,27,1551,1578,1548,1575,1548
P20,7,27,1578,1605,1571,1598,1571
P23,7,27,1605,1632,1598,1625,1598
P37,0,28,1632,1660,1632,1660,1632
P50,1,28,1660,1688,1659,1687,1659
P39,2,28,1688,1716,1686,1714,1686
P44,3,28,1716,1744,1713,1741,1713
P86,7,28,1744,1772,1737,1765,1737
P54,2,29,1772,1801,1770,1799,1770
P19,3,29,1801,1830,1798,1827,1798
P45,6,29,1830,1859,1824,1853,1824
P83,6,29,1859,1888,1853,1882,1853
P17,7,29,1888,1917,1881,1910,1881
P43,1,30,1917,1947,1916,1946,1916
P3,2,30,1947,1977,1945,1975,1945
P2,7,30,1977,2007,1970,2000,1970
P80,8,30,2007,2037,1999,2029,1999

Algorithm,HRRN - Highest Response Ratio Next,,,,,,
Average Waiting Time,837.93 seconds,,,,,,
Average Turnaround Time,858.30 seconds,,,,,,
Average Response Time,837.93 seconds,,,,,,
CPU Utilization,100.00%,,,,,,
Throughput,0.049 processes/second,,,,,,
