Process ID / Metric,Arrival / Value,Burst,Start,Finish,Waiting,Turnaround,Response
P60,0,12,0,12,0,12,0
P50,1,28,12,40,11,39,11
P73,1,26,40,66,39,65,39
P93,1,13,66,79,65,78,65
P96,1,23,79,102,78,101,78
P1,2,22,102,124,100,122,100
P3,2,30,124,154,122,152,122
P84,2,14,154,168,152,166,152
P19,3,29,168,197,165,194,165
P99,3,17,197,214,194,211,194
P13,4,16,214,230,210,226,210
P27,6,18,230,248,224,242,224
P45,6,29,248,277,242,271,242
P2,7,30,277,307,270,300,270
P80,8,30,307,337,299,329,299
P61,9,21,337,358,328,349,328
P69,9,19,358,377,349,368,349
P70,9,23,377,400,368,391,368
P26,0,26,400,426,400,426,400
P71,0,24,426,450,426,450,426
P33,1,17,450,467,449,466,449
P54,2,29,467,496,465,494,465
P16,3,27,496,523,493,520,493
P79,3,14,523,537,520,534,520
P82,3,18,537,555,534,552,534
P98,3,27,555,582,552,579,552
P30,4,17,582,599,578,595,578
P49,4,14,599,613,595,609,595
P92,4,22,613,635,609,631,609
P10,6,11,635,646,629,640,629
P35,6,16,646,662,640,656,640
P55,6,23,662,685,656,679,656
P75,6,26,685,711,679,705,679
P83,6,29,711,740,705,734,705
P85,6,24,740,764,734,758,734
P20,7,27,764,791,757,784,757
P23,7,27,791,818,784,811,784
P89,7,10,818,828,811,821,811
P97,7,11,828,839,821,832,821
P9,8,14,839,853,831,845,831
P42,8,17,853,870,845,862,845
P64,8,11,870,881,862,873,862
P5,9,16,881,897,872,888,872
P34,9,19,897,916,888,907,888
P40,9,10,916,926,907,917,907
P72,9,26,926,952,917,943,917
P37,0,28,952,980,952,980,952
P100,0,27,980,1007,980,1007,980
P39,2,28,1007,1035,1005,1033,1005
P59,2,22,1035,1057,1033,1055,1033
P91,2,19,1057,1076,1055,1074,1055
P21,3,26,1076,1102,1073,1099,1073
P31,3,14,1102,1116,1099,1113,1099
P44,3,28,1116,1144,1113,1141,1113
P56,3,14,1144,1158,1141,1155,1141
P66,3,19,1158,1177,1155,1174,1155
P8,4,11,1177,1188,1173,1184,1173
P36,4,22,1188,1210,1184,1206,1184
P48,4,23,1210,1233,1206,1229,1206
P62,4,25,1233,1258,1229,1254,1229
P22,5,14,1258,1272,1253,1267,1253
P38,5,20,1272,1292,1267,1287,1267
P57,5,18,1292,1310,1287,1305,1287
P77,5,18,1310,1328,1305,1323,1305
P46,7,13,1328,1341,1321,1334,1321
P63,7,19,1341,1360,1334,1353,1334
P86,7,28,1360,1388,1353,1381,1353
P90,7,26,1388,1414,1381,1407,1381
P4,8,11,1414,1425,1406,1417,1406
P51,8,26,1425,1451,1417,1443,1417
P67,8,13,1451,1464,1443,1456,1443
P78,8,20,1464,1484,1456,1476,1456
P87,8,18,1484,1502,1476,1494,1476
P18,9,23,1502,1525,1493,1516,1493
P11,1,26,1525,1551,1524,1550,1524
P43,1,30,1551,1581,1550,1580,1550
P65,1,24,1581,1605,1580,1604,1580
P74,1,26,1605,1631,1604,1630,1604
P7,2,27,1631,1658,1629,1656,1629
P12,2,22,1658,1680,1656,1678,1656
P32,2,15,1680,1695,1678,1693,1678
P52,2,23,1695,1718,1693,1716,1693
P81,2,24,1718,1742,1716,1740,1716
P15,3,15,1742,1757,1739,1754,1739
P24,3,17,1757,1774,1754,1771,1754
P28,3,11,1774,1785,1771,1782,1771
P53,3,20,1785,1805,1782,1802,1782
P6,4,20,1805,1825,1801,1821,1801
P14,4,12,1825,1837,1821,1833,1821
P47,4,13,1837,1850,1833,1846,1833
P68,5,10,1850,1860,1845,1855,1845
P17,7,29,1860,1889,1853,1882,1853
P94,7,14,1889,1903,1882,1896,1882
P25,8,12,1903,1915,1895,1907,1895
P29,8,24,1915,1939,1907,1931,1907
P41,8,24,1939,1963,1931,1955,1931
P58,8,22,1963,1985,1955,1977,1955
P95,8,20,1985,2005,1977,1997,1977
P76,9,14,2005,2019,1996,2010,1996
P88,9,18,2019,2037,2010,2028,2010

Algorithm,Priority Scheduling (Higher # = Higher Priority),,,,,,
Average Waiting Time,1031.47 seconds,,,,,,
Average Turnaround Time,1051.84 seconds,,,,,,
Average Response Time,1031.47 seconds,,,,,,
CPU Utilization,100.00%,,,,,,
Throughput,0.049 processes/second,,,,,,
