Process ID / Metric,Arrival / Value,Burst,Start,Finish,Waiting,Turnaround,Response
P26,0,26,0,1861,1835,1861,0
P37,0,28,4,1926,1898,1926,4
P60,0,12,8,812,800,812,8
P71,0,24,12,1768,1744,1768,12
P100,0,27,16,1940,1913,1940,16
P11,1,26,20,1942,1915,1941,19
P33,1,17,24,1529,1511,1528,23
P43,1,30,28,2026,1995,2025,27
P50,1,28,32,1950,1921,1949,31
P65,1,24,36,1788,1763,1787,35
P73,1,26,40,1952,1925,1951,39
P74,1,26,44,1954,1927,1953,43
P93,1,13,48,1233,1219,1232,47
P96,1,23,52,1799,1775,1798,51
P1,2,22,56,1801,1777,1799,54
P3,2,30,60,2028,1996,2026,58
P7,2,27,64,1961,1932,1959,62
P12,2,22,68,1811,1787,1809,66
P32,2,15,72,1256,1239,1254,70
P39,2,28,76,1965,1935,1963,74
P52,2,23,80,1818,1793,1816,78
P54,2,29,84,2029,1998,2027,82
P59,2,22,88,1824,1800,1822,86
P81,2,24,92,1828,1802,1826,90
P84,2,14,96,1278,1262,1276,94
P91,2,19,100,1592,1571,1590,98
P15,3,15,104,1285,1267,1282,101
P16,3,27,108,1972,1942,1969,105
P19,3,29,112,2030,1998,2027,109
P21,3,26,116,1978,1949,1975,113
P24,3,17,120,1605,1585,1602,117
P28,3,11,124,927,913,924,121
P31,3,14,128,1303,1286,1300,125
P44,3,28,132,1982,1951,1979,129
P53,3,20,136,1613,1590,1610,133
P56,3,14,140,1313,1296,1310,137
P66,3,19,144,1616,1594,1613,141
P79,3,14,148,1319,1302,1316,145
P82,3,18,152,1618,1597,1615,149
P98,3,27,156,1985,1955,1982,153
P99,3,17,160,1623,1603,1620,157
P6,4,20,164,1627,1603,1623,160
P8,4,11,168,970,955,966,164
P13,4,16,172,1339,1319,1335,168
P14,4,12,176,978,962,974,172
P30,4,17,180,1628,1607,1624,176
P36,4,22,184,1850,1824,1846,180
P47,4,13,188,1348,1331,1344,184
P48,4,23,192,1853,1826,1849,188
P49,4,14,196,1354,1336,1350,192
P62,4,25,200,1986,1957,1982,196
P92,4,22,204,1859,1833,1855,200
P22,5,14,212,1368,1349,1363,207
P38,5,20,216,1652,1627,1647,211
P57,5,18,220,1654,1631,1649,215
P68,5,10,224,1024,1009,1019,219
P77,5,18,228,1656,1633,1651,223
P10,6,11,232,1031,1014,1025,226
P27,6,18,236,1658,1634,1652,230
P35,6,16,240,1388,1366,1382,234
P45,6,29,244,2031,1996,2025,238
P55,6,23,248,1868,1839,1862,242
P75,6,26,252,1992,1960,1986,246
P83,6,29,256,2032,1997,2026,250
P85,6,24,260,1880,1850,1874,254
P2,7,30,264,2034,1997,2027,257
P17,7,29,268,2035,1999,2028,261
P20,7,27,272,2007,1973,2000,265
P23,7,27,276,2010,1976,2003,269
P46,7,13,280,1425,1405,1418,273
P63,7,19,284,1697,1671,1690,277
P86,7,28,288,2014,1979,2007,281
P89,7,10,292,1089,1072,1082,285
P90,7,26,296,2016,1983,2009,289
P94,7,14,300,1439,1418,1432,293
P97,7,11,304,1100,1082,1093,297
P4,8,11,308,1103,1084,1095,300
P9,8,14,312,1441,1419,1433,304
P25,8,12,316,1111,1091,1103,308
P29,8,24,320,1908,1876,1900,312
P41,8,24,324,1912,1880,1904,316
P42,8,17,328,1714,1689,1706,320
P51,8,26,332,2018,1984,2010,324
P58,8,22,336,1918,1888,1910,328
P64,8,11,340,1134,1115,1126,332
P67,8,13,344,1462,1441,1454,336
P78,8,20,348,1726,1698,1718,340
P80,8,30,352,2037,1999,2029,344
P87,8,18,356,1732,1706,1724,348
P95,8,20,360,1736,1708,1728,352
P5,9,16,368,1486,1461,1477,359
P18,9,23,372,1929,1897,1920,363
P34,9,19,376,1747,1719,1738,367
P40,9,10,380,1172,1153,1163,371
P61,9,21,384,1930,1900,1921,375
P69,9,19,388,1754,1726,1745,379
P70,9,23,392,1933,1901,1924,383
P72,9,26,396,2024,1989,2015,387
P76,9,14,400,1512,1489,1503,391
P88,9,18,404,1764,1737,1755,395

Algorithm,Round Robin (Quantum = 4),,,,,,
Average Waiting Time,1644.24 seconds,,,,,,
Average Turnaround Time,1664.61 seconds,,,,,,
Average Response Time,195.58 seconds,,,,,,
CPU Utilization,100.00%,,,,,,
Throughput,0.049 processes/second,,,,,,
