Process ID / Metric,Arrival / Value,Burst,Start,Finish,Waiting,Turnaround,Response
P60,0,12,0,12,0,12,0
P68,5,10,12,22,7,17,7
P89,7,10,22,32,15,25,15
P40,9,10,32,42,23,33,23
P28,3,11,42,53,39,50,39
P8,4,11,53,64,49,60,49
P10,6,11,64,75,58,69,58
P97,7,11,75,86,68,79,68
P4,8,11,86,97,78,89,78
P64,8,11,97,108,89,100,89
P14,4,12,108,120,104,116,104
P25,8,12,120,132,112,124,112
P93,1,13,132,145,131,144,131
P47,4,13,145,158,141,154,141
P46,7,13,158,171,151,164,151
P67,8,13,171,184,163,176,163
P84,2,14,184,198,182,196,182
P31,3,14,198,212,195,209,195
P56,3,14,212,226,209,223,209
P79,3,14,226,240,223,237,223
P49,4,14,240,254,236,250,236
P22,5,14,254,268,249,263,249
P94,7,14,268,282,261,275,261
P9,8,14,282,296,274,288,274
P76,9,14,296,310,287,301,287
P32,2,15,310,325,308,323,308
P15,3,15,325,340,322,337,322
P13,4,16,340,356,336,352,336
P35,6,16,356,372,350,366,350
P5,9,16,372,388,363,379,363
P33,1,17,388,405,387,404,387
P24,3,17,405,422,402,419,402
P99,3,17,422,439,419,436,419
P30,4,17,439,456,435,452,435
P42,8,17,456,473,448,465,448
P82,3,18,473,491,470,488,470
P57,5,18,491,509,486,504,486
P77,5,18,509,527,504,522,504
P27,6,18,527,545,521,539,521
P87,8,18,545,563,537,555,537
P88,9,18,563,581,554,572,554
P91,2,19,581,600,579,598,579
P66,3,19,600,619,597,616,597
P63,7,19,619,638,612,631,612
P34,9,19,638,657,629,648,629
P69,9,19,657,676,648,667,648
P53,3,20,676,696,673,693,673
P6,4,20,696,716,692,712,692
P38,5,20,716,736,711,731,711
P78,8,20,736,756,728,748,728
P95,8,20,756,776,748,768,748
P61,9,21,776,797,767,788,767
P1,2,22,797,819,795,817,795
P12,2,22,819,841,817,839,817
P59,2,22,841,863,839,861,839
P36,4,22,863,885,859,881,859
P92,4,22,885,907,881,903,881
P58,8,22,907,929,899,921,899
P96,1,23,929,952,928,951,928
P52,2,23,952,975,950,973,950
P48,4,23,975,998,971,994,971
P55,6,23,998,1021,992,1015,992
P18,9,23,1021,1044,1012,1035,1012
P70,9,23,1044,1067,1035,1058,1035
P71,0,24,1067,1091,1067,1091,1067
P65,1,24,1091,1115,1090,1114,1090
P81,2,24,1115,1139,1113,1137,1113
P85,6,24,1139,1163,1133,1157,1133
P29,8,24,1163,1187,1155,1179,1155
P41,8,24,1187,1211,1179,1203,1179
P62,4,25,1211,1236,1207,1232,1207
P26,0,26,1236,1262,1236,1262,1236
P11,1,26,1262,1288,1261,1287,1261
P73,1,26,1288,1314,1287,1313,1287
P74,1,26,1314,1340,1313,1339,1313
P21,3,26,1340,1366,1337,1363,1337
P75,6,26,1366,1392,1360,1386,1360
P90,7,26,1392,1418,1385,1411,1385
P51,8,26,1418,1444,1410,1436,1410
P72,9,26,1444,1470,1435,1461,1435
P100,0,27,1470,1497,1470,1497,1470
P7,2,27,1497,1524,1495,1522,1495
P16,3,27,1524,1551,1521,1548,1521
P98,3,27,1551,1578,1548,1575,1548
P20,7,27,1578,1605,1571,1598,1571
P23,7,27,1605,1632,1598,1625,1598
P37,0,28,1632,1660,1632,1660,1632
P50,1,28,1660,1688,1659,1687,1659
P39,2,28,1688,1716,1686,1714,1686
P44,3,28,1716,1744,1713,1741,1713
P86,7,28,1744,1772,1737,1765,1737
P54,2,29,1772,1801,1770,1799,1770
P19,3,29,1801,1830,1798,1827,1798
P45,6,29,1830,1859,1824,1853,1824
P83,6,29,1859,1888,1853,1882,1853
P17,7,29,1888,1917,1881,1910,1881
P43,1,30,1917,1947,1916,1946,1916
P3,2,30,1947,1977,1945,1975,1945
P2,7,30,1977,2007,1970,2000,1970
P80,8,30,2007,2037,1999,2029,1999

Algorithm,SRTF - Shortest Remaining Time First,,,,,,
Average Waiting Time,831.02 seconds,,,,,,
Average Turnaround Time,851.39 seconds,,,,,,
Average Response Time,831.02 seconds,,,,,,
CPU Utilization,100.00%,,,,,,
Throughput,0.049 processes/second,,,,,,
