Process ID / Metric,Arrival / Value,Burst,Start,Finish,Waiting,Turnaround,Response
P15,0,7,0,7,0,7,0
P17,0,18,7,25,7,25,7
P2,1,6,25,31,24,30,24
P5,1,6,31,37,30,36,30
P13,1,17,37,54,36,53,36
P14,1,14,54,68,53,67,53
P16,1,18,68,86,67,85,67
P19,1,13,86,99,85,98,85
P6,2,14,99,113,97,111,97
P7,2,5,113,118,111,116,111
P8,2,19,118,137,116,135,116
P10,2,18,137,155,135,153,135
P1,3,12,155,167,152,164,152
P12,3,1,167,168,164,165,164
P18,3,7,168,175,165,172,165
P20,3,7,175,182,172,179,172
P3,4,8,182,190,178,186,178
P4,4,11,190,201,186,197,186
P9,4,5,201,206,197,202,197
P11,4,15,206,221,202,217,202

Algorithm,FCFS - First Come First Serve,,,,,,
Average Waiting Time,108.85 seconds,,,,,,
Average Turnaround Time,119.90 seconds,,,,,,
Average Response Time,108.85 seconds,,,,,,
CPU Utilization,100.00%,,,,,,
Throughput,0.090 processes/second,,,,,,
