Process ID / Metric,Arrival / Value,Burst,Start,Finish,Waiting,Turnaround,Response
P15,0,7,0,7,0,7,0
P12,3,1,7,8,4,5,4
P7,2,5,8,13,6,11,6
P2,1,6,13,19,12,18,12
P5,1,6,19,25,18,24,18
P9,4,5,25,30,21,26,21
P18,3,7,30,37,27,34,27
P20,3,7,37,44,34,41,34
P3,4,8,44,52,40,48,40
P4,4,11,52,63,48,59,48
P1,3,12,63,75,60,72,60
P19,1,13,75,88,74,87,74
P14,1,14,88,102,87,101,87
P6,2,14,102,116,100,114,100
P11,4,15,116,131,112,127,112
P13,1,17,131,148,130,147,130
P17,0,18,148,166,148,166,148
P16,1,18,166,184,165,183,165
P10,2,18,184,202,182,200,182
P8,2,19,202,221,200,219,200

Algorithm,HRRN - Highest Response Ratio Next,,,,,,
Average Waiting Time,73.40 seconds,,,,,,
Average Turnaround Time,84.45 seconds,,,,,,
Average Response Time,73.40 seconds,,,,,,
CPU Utilization,100.00%,,,,,,
Throughput,0.090 processes/second,,,,,,
