Process ID / Metric,Arrival / Value,Burst,Start,Finish,Waiting,Turnaround,Response
P17,0,18,0,18,0,18,0
P6,2,14,18,32,16,30,16
P5,1,6,32,38,31,37,31
P7,2,5,38,43,36,41,36
P8,2,19,43,62,41,60,41
P12,3,1,62,63,59,60,59
P20,3,7,63,70,60,67,60
P4,4,11,70,81,66,77,66
P16,1,18,81,99,80,98,80
P1,3,12,99,111,96,108,96
P9,4,5,111,116,107,112,107
P2,1,6,116,122,115,121,115
P10,2,18,122,140,120,138,120
P18,3,7,140,147,137,144,137
P15,0,7,147,154,147,154,147
P13,1,17,154,171,153,170,153
P14,1,14,171,185,170,184,170
P19,1,13,185,198,184,197,184
P3,4,8,198,206,194,202,194
P11,4,15,206,221,202,217,202

Algorithm,Priority Scheduling (Higher # = Higher Priority),,,,,,
Average Waiting Time,100.70 seconds,,,,,,
Average Turnaround Time,111.75 seconds,,,,,,
Average Response Time,100.70 seconds,,,,,,
CPU Utilization,100.00%,,,,,,
Throughput,0.090 processes/second,,,,,,
