Process ID / Metric,Arrival / Value,Burst,Start,Finish,Waiting,Turnaround,Response
P15,0,7,0,80,73,80,0
P17,0,18,4,213,195,213,4
P2,1,6,8,86,79,85,7
P5,1,6,12,88,81,87,11
P13,1,17,16,214,196,213,15
P14,1,14,20,193,178,192,19
P16,1,18,24,216,197,215,23
P19,1,13,28,198,184,197,27
P6,2,14,32,200,184,198,30
P7,2,5,36,109,102,107,34
P8,2,19,40,219,198,217,38
P10,2,18,44,221,201,219,42
P1,3,12,48,176,161,173,45
P12,3,1,52,53,49,50,49
P18,3,7,53,124,114,121,50
P20,3,7,57,127,117,124,54
P3,4,8,61,131,119,127,57
P4,4,11,65,179,164,175,61
P9,4,5,69,136,127,132,65
P11,4,15,73,211,192,207,69

Algorithm,Round Robin (Quantum = 4),,,,,,
Average Waiting Time,145.55 seconds,,,,,,
Average Turnaround Time,156.60 seconds,,,,,,
Average Response Time,35.00 seconds,,,,,,
CPU Utilization,100.00%,,,,,,
Throughput,0.090 processes/second,,,,,,
